X,Y,Z
-0.5260529940824269,0.8279204360184216,0.0
-0.5260624611952756,0.8280638031236599,0.0
-0.5262420786978663,0.8279790536773131,0.0
-0.5264216962004571,0.8278943042309661,0.0
-0.5265978595203058,0.8278111845816644,0.0
-0.5270955168715238,0.8276970381480787,0.0
-0.5273358311458878,0.8276104643404759,0.0
-0.5275617265637899,0.8275290849613292,0.0
-0.5277972345526667,0.8274442426298783,0.0
-0.527128221698937,0.8279969713901777,0.0
-0.5271487185714477,0.8280301103222566,0.0
-0.5271944423639717,0.8281040356322786,0.0
-0.5272338594264924,0.828167764347815,0.0
-0.5272748531715139,0.8282340422119728,0.0
-0.5273830006947828,0.8275323923176735,0.0
-0.527423970181552,0.8274576861351602,0.0
-0.5274892653010903,0.8273386231567798,0.0
-0.5275584013100134,0.8272125564737888,0.0
-0.5276288176153978,0.827084155222594,0.0
-0.5272304780890805,0.8271260070669005,0.0
-0.5272001253317269,0.8270451343801795,0.0
-0.5271606667471671,0.8269399998874422,0.0
-0.527118172886872,0.8268267781260328,0.0
